AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|~|~|~|~|X(d) Gonadal carcinomas|20783456|2017
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20783456|2017
10-14|18.8|22.7|20.7|430|XI Other malignant epithelial neoplasms and malignant melanomas|20783456|2017
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20783456|2017
10-14|6.6|9.0|7.7|161|XI(b) Thyroid carcinomas|20783456|2017
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20783456|2017
10-14|1.5|2.8|2.1|43|XI(d) Malignant melanomas|20783456|2017
10-14|~|~|~|~|XI(e) Skin carcinomas|20783456|2017
10-14|8.7|11.5|10.0|208|XI(f) Other and unspecified carcinomas|20783456|2017
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20783456|2017
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20783456|2017
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20783456|2017
15-19|230.3|243.5|236.8|4998|All ICCC Groups Combined|21105586|2017
15-19|31.0|36.0|33.4|705|I Leukemias, myeloproliferative & myelodysplastic diseases|21105586|2017
15-19|15.1|18.7|16.8|355|I(a) Lymphoid leukemias|21105586|2017
15-19|7.6|10.2|8.8|186|I(b) Acute myeloid leukemias|21105586|2017
15-19|4.4|6.4|5.3|112|I(c) Chronic myeloproliferative diseases|21105586|2017
15-19|0.5|1.3|0.8|17|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21105586|2017
15-19|1.2|2.3|1.7|35|I(e) Unspecified and other specified leukemias|21105586|2017
15-19|49.7|56.0|52.8|1114|II Lymphomas and reticuloendothelial neoplasms|21105586|2017
15-19|29.1|33.9|31.4|663|II(a) Hodgkin lymphomas|21105586|2017
15-19|14.8|18.3|16.5|348|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21105586|2017
15-19|1.5|2.7|2.0|43|II(c) Burkitt lymphoma|21105586|2017
15-19|1.4|2.7|2.0|42|II(d) Miscellaneous lymphoreticular neoplasms|21105586|2017
15-19|0.5|1.3|0.9|18|II(e) Unspecified lymphomas|21105586|2017
15-19|21.7|26.0|23.8|502|III CNS and misc intracranial and intraspinal neoplasms|21105586|2017
15-19|0.9|2.0|1.4|29|III(a) Ependymomas and choroid plexus tumor|21105586|2017
15-19|12.1|15.3|13.6|287|III(b) Astrocytomas|21105586|2017
15-19|1.8|3.1|2.4|50|III(c) Intracranial and intraspinal embryonal tumors|21105586|2017
15-19|4.4|6.4|5.3|112|III(d) Other gliomas|21105586|2017
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21105586|2017
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21105586|2017
15-19|0.9|2.0|1.4|29|IV Neuroblastoma and other peripheral nervous cell tumors|21105586|2017
15-19|0.6|1.5|1.0|21|IV(a) Neuroblastoma and ganglioneuroblastoma|21105586|2017
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21105586|2017
15-19|15.4|19.0|17.1|361|IX Soft tissue and other extraosseous sarcomas|21105586|2017
15-19|3.6|5.4|4.4|93|IX(a) Rhabdomyosarcomas|21105586|2017
15-19|1.2|2.4|1.8|37|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21105586|2017
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21105586|2017
15-19|7.2|9.8|8.4|178|IX(d) Other specified soft tissue sarcomas|21105586|2017
15-19|1.8|3.2|2.4|51|IX(e) Unspecified soft tissue sarcomas|21105586|2017
15-19|~|~|~|~|Not classified by ICCC|21105586|2017
15-19|~|~|~|~|V Retinoblastoma|21105586|2017
15-19|1.2|2.4|1.7|36|VI Renal tumors|21105586|2017
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21105586|2017
15-19|0.9|1.9|1.3|28|VI(b) Renal carcinomas|21105586|2017
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21105586|2017
15-19|1.0|2.1|1.5|31|VII Hepatic tumors|21105586|2017
15-19|~|~|~|~|VII(a) Hepatoblastoma|21105586|2017
15-19|0.9|2.0|1.4|29|VII(b) Hepatic carcinomas|21105586|2017
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21105586|2017
15-19|13.6|17.0|15.2|321|VIII Malignant bone tumors|21105586|2017
15-19|7.2|9.8|8.4|178|VIII(a) Osteosarcomas|21105586|2017
15-19|0.4|1.2|0.8|16|VIII(b) Chondrosarcomas|21105586|2017
15-19|3.6|5.5|4.5|95|VIII(c) Ewing tumor and related sarcomas of bone|21105586|2017
15-19|0.6|1.5|0.9|20|VIII(d) Other specified malignant bone tumors|21105586|2017
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21105586|2017
15-19|24.0|28.4|26.2|552|X Germ cell, trophoblastic tumors & neoplasms of gonads|21105586|2017
15-19|2.2|3.7|2.9|61|X(a) Intracranial & intraspinal germ cell tumors|21105586|2017
15-19|0.5|1.4|0.9|19|X(b) Malignant extracranial & extragonadal germ cell tumors|21105586|2017
15-19|18.1|21.9|19.9|421|X(c) Malignant gonadal germ cell tumors|21105586|2017
15-19|0.8|1.9|1.3|27|X(d) Gonadal carcinomas|21105586|2017
15-19|0.7|1.7|1.1|24|X(e) Other and unspecified malignant gonadal tumors|21105586|2017
15-19|59.1|65.9|62.4|1318|XI Other malignant epithelial neoplasms and malignant melanomas|21105586|2017
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21105586|2017
15-19|28.7|33.5|31.0|655|XI(b) Thyroid carcinomas|21105586|2017
15-19|0.9|1.9|1.3|28|XI(c) Nasopharyngeal carcinomas|21105586|2017
15-19|6.7|9.2|7.9|166|XI(d) Malignant melanomas|21105586|2017
15-19|~|~|~|~|XI(e) Skin carcinomas|21105586|2017
15-19|19.7|23.7|21.7|457|XI(f) Other and unspecified carcinomas|21105586|2017
15-19|0.7|1.6|1.0|22|XII Other and unspecified malignant neoplasms|21105586|2017
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21105586|2017
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21105586|2017
5-9|126.2|136.2|131.1|2665|All ICCC Groups Combined|20330306|2017
5-9|37.5|43.0|40.2|817|I Leukemias, myeloproliferative & myelodysplastic diseases|20330306|2017
5-9|30.1|35.1|32.6|662|I(a) Lymphoid leukemias|20330306|2017
5-9|3.4|5.3|4.3|87|I(b) Acute myeloid leukemias|20330306|2017
5-9|0.7|1.7|1.1|23|I(c) Chronic myeloproliferative diseases|20330306|2017
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20330306|2017
5-9|1.1|2.2|1.6|32|I(e) Unspecified and other specified leukemias|20330306|2017
5-9|17.7|21.6|19.6|398|II Lymphomas and reticuloendothelial neoplasms|20330306|2017
5-9|3.1|4.8|3.9|79|II(a) Hodgkin lymphomas|20330306|2017
5-9|6.3|8.7|7.4|151|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20330306|2017
5-9|2.6|4.2|3.3|67|II(c) Burkitt lymphoma|20330306|2017
5-9|3.9|5.9|4.8|98|II(d) Miscellaneous lymphoreticular neoplasms|20330306|2017
5-9|~|~|~|~|II(e) Unspecified lymphomas|20330306|2017
5-9|34.5|39.8|37.1|754|III CNS and misc intracranial and intraspinal neoplasms|20330306|2017
5-9|1.5|2.8|2.1|43|III(a) Ependymomas and choroid plexus tumor|20330306|2017
5-9|16.4|20.2|18.2|370|III(b) Astrocytomas|20330306|2017
5-9|6.0|8.4|7.1|145|III(c) Intracranial and intraspinal embryonal tumors|20330306|2017
5-9|7.0|9.5|8.2|166|III(d) Other gliomas|20330306|2017
5-9|0.5|1.4|0.9|18|III(e) Other specified intracranial & intraspinal neoplasms|20330306|2017
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20330306|2017
5-9|3.5|5.4|4.4|89|IV Neuroblastoma and other peripheral nervous cell tumors|20330306|2017
5-9|3.4|5.2|4.2|86|IV(a) Neuroblastoma and ganglioneuroblastoma|20330306|2017
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20330306|2017
5-9|7.9|10.6|9.1|186|IX Soft tissue and other extraosseous sarcomas|20330306|2017
5-9|3.6|5.5|4.5|92|IX(a) Rhabdomyosarcomas|20330306|2017
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20330306|2017
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20330306|2017
5-9|2.2|3.7|2.9|58|IX(d) Other specified soft tissue sarcomas|20330306|2017
5-9|0.8|1.9|1.3|26|IX(e) Unspecified soft tissue sarcomas|20330306|2017
5-9|~|~|~|~|Not classified by ICCC|20330306|2017
5-9|~|~|~|~|V Retinoblastoma|20330306|2017
5-9|5.2|7.4|6.2|127|VI Renal tumors|20330306|2017
5-9|4.8|7.0|5.8|118|VI(a) Nephroblastoma and other nonepithelial renal tumors|20330306|2017
5-9|~|~|~|~|VI(b) Renal carcinomas|20330306|2017
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20330306|2017
5-9|0.5|1.3|0.8|17|VII Hepatic tumors|20330306|2017
5-9|~|~|~|~|VII(a) Hepatoblastoma|20330306|2017
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20330306|2017
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20330306|2017
5-9|4.4|6.5|5.4|110|VIII Malignant bone tumors|20330306|2017
5-9|2.4|4.0|3.1|63|VIII(a) Osteosarcomas|20330306|2017
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20330306|2017
5-9|1.3|2.5|1.8|37|VIII(c) Ewing tumor and related sarcomas of bone|20330306|2017
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20330306|2017
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20330306|2017
5-9|2.2|3.7|2.9|58|X Germ cell, trophoblastic tumors & neoplasms of gonads|20330306|2017
5-9|1.0|2.1|1.5|30|X(a) Intracranial & intraspinal germ cell tumors|20330306|2017
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20330306|2017
5-9|0.6|1.6|1.0|21|X(c) Malignant gonadal germ cell tumors|20330306|2017
5-9|~|~|~|~|X(d) Gonadal carcinomas|20330306|2017
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20330306|2017
5-9|3.5|5.4|4.4|89|XI Other malignant epithelial neoplasms and malignant melanomas|20330306|2017
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20330306|2017
5-9|1.0|2.0|1.4|29|XI(b) Thyroid carcinomas|20330306|2017
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20330306|2017
5-9|0.7|1.6|1.1|22|XI(d) Malignant melanomas|20330306|2017
5-9|~|~|~|~|XI(e) Skin carcinomas|20330306|2017
5-9|1.3|2.6|1.9|38|XI(f) Other and unspecified carcinomas|20330306|2017
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20330306|2017
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20330306|2017
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20330306|2017
<1|250.6|283.3|266.6|1035|All ICCC Groups Combined|3882437|2017
<1|43.4|57.8|50.2|195|I Leukemias, myeloproliferative & myelodysplastic diseases|3882437|2017
<1|12.9|21.3|16.7|65|I(a) Lymphoid leukemias|3882437|2017
<1|14.5|23.4|18.5|72|I(b) Acute myeloid leukemias|3882437|2017
<1|2.9|7.6|4.9|19|I(c) Chronic myeloproliferative diseases|3882437|2017
<1|5.0|10.7|7.5|29|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3882437|2017
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3882437|2017
<1|19.6|29.6|24.2|94|II Lymphomas and reticuloendothelial neoplasms|3882437|2017
<1|~|~|~|~|II(a) Hodgkin lymphomas|3882437|2017
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3882437|2017
<1|~|~|~|~|II(c) Burkitt lymphoma|3882437|2017
<1|16.3|25.6|20.6|80|II(d) Miscellaneous lymphoreticular neoplasms|3882437|2017
<1|~|~|~|~|II(e) Unspecified lymphomas|3882437|2017
<1|28.4|40.3|34.0|132|III CNS and misc intracranial and intraspinal neoplasms|3882437|2017
<1|2.4|6.7|4.1|16|III(a) Ependymomas and choroid plexus tumor|3882437|2017
<1|10.4|18.1|13.9|54|III(b) Astrocytomas|3882437|2017
<1|7.4|14.0|10.3|40|III(c) Intracranial and intraspinal embryonal tumors|3882437|2017
<1|~|~|~|~|III(d) Other gliomas|3882437|2017
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3882437|2017
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3882437|2017
<1|48.5|63.6|55.6|216|IV Neuroblastoma and other peripheral nervous cell tumors|3882437|2017
<1|48.0|63.0|55.1|214|IV(a) Neuroblastoma and ganglioneuroblastoma|3882437|2017
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3882437|2017
<1|13.4|21.9|17.3|67|IX Soft tissue and other extraosseous sarcomas|3882437|2017
<1|3.3|8.3|5.4|21|IX(a) Rhabdomyosarcomas|3882437|2017
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3882437|2017
<1|~|~|~|~|IX(c) Kaposi sarcoma|3882437|2017
<1|3.1|8.0|5.2|20|IX(d) Other specified soft tissue sarcomas|3882437|2017
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3882437|2017
<1|~|~|~|~|Not classified by ICCC|3882437|2017
<1|24.7|35.8|29.9|116|V Retinoblastoma|3882437|2017
<1|10.7|18.4|14.2|55|VI Renal tumors|3882437|2017
<1|10.4|18.1|13.9|54|VI(a) Nephroblastoma and other nonepithelial renal tumors|3882437|2017
<1|~|~|~|~|VI(b) Renal carcinomas|3882437|2017
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3882437|2017
<1|8.7|15.8|11.8|46|VII Hepatic tumors|3882437|2017
<1|8.5|15.5|11.6|45|VII(a) Hepatoblastoma|3882437|2017
<1|~|~|~|~|VII(b) Hepatic carcinomas|3882437|2017
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3882437|2017
<1|~|~|~|~|VIII Malignant bone tumors|3882437|2017
<1|~|~|~|~|VIII(a) Osteosarcomas|3882437|2017
<1|~|~|~|~|VIII(b) Chondrosarcomas|3882437|2017
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3882437|2017
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3882437|2017
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3882437|2017
<1|14.3|23.1|18.3|71|X Germ cell, trophoblastic tumors & neoplasms of gonads|3882437|2017
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3882437|2017
<1|8.9|16.1|12.1|47|X(b) Malignant extracranial & extragonadal germ cell tumors|3882437|2017
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3882437|2017
<1|~|~|~|~|X(d) Gonadal carcinomas|3882437|2017
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3882437|2017
<1|2.4|6.7|4.1|16|XI Other malignant epithelial neoplasms and malignant melanomas|3882437|2017
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3882437|2017
<1|~|~|~|~|XI(b) Thyroid carcinomas|3882437|2017
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3882437|2017
<1|~|~|~|~|XI(d) Malignant melanomas|3882437|2017
<1|~|~|~|~|XI(e) Skin carcinomas|3882437|2017
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3882437|2017
<1|3.1|8.0|5.2|20|XII Other and unspecified malignant neoplasms|3882437|2017
<1|~|~|~|~|XII(a) Other specified malignant tumors|3882437|2017
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3882437|2017
1-4|211.8|226.5|219.0|3461|All ICCC Groups Combined|15801419|2018
1-4|88.1|97.7|92.8|1467|I Leukemias, myeloproliferative & myelodysplastic diseases|15801419|2018
1-4|74.8|83.7|79.2|1251|I(a) Lymphoid leukemias|15801419|2018
1-4|7.9|11.0|9.4|148|I(b) Acute myeloid leukemias|15801419|2018
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|15801419|2018
1-4|0.7|1.9|1.2|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15801419|2018
1-4|1.8|3.4|2.5|39|I(e) Unspecified and other specified leukemias|15801419|2018
1-4|12.6|16.4|14.4|228|II Lymphomas and reticuloendothelial neoplasms|15801419|2018
1-4|0.8|2.0|1.3|21|II(a) Hodgkin lymphomas|15801419|2018
1-4|3.1|5.2|4.1|64|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15801419|2018
1-4|1.1|2.5|1.7|27|II(c) Burkitt lymphoma|15801419|2018
1-4|5.8|8.5|7.0|111|II(d) Miscellaneous lymphoreticular neoplasms|15801419|2018
1-4|~|~|~|~|II(e) Unspecified lymphomas|15801419|2018
1-4|33.2|39.2|36.1|571|III CNS and misc intracranial and intraspinal neoplasms|15801419|2018
1-4|3.3|5.5|4.3|68|III(a) Ependymomas and choroid plexus tumor|15801419|2018
1-4|17.2|21.6|19.3|305|III(b) Astrocytomas|15801419|2018
1-4|6.5|9.4|7.8|124|III(c) Intracranial and intraspinal embryonal tumors|15801419|2018
1-4|2.7|4.6|3.5|56|III(d) Other gliomas|15801419|2018
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15801419|2018
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15801419|2018
1-4|19.0|23.6|21.2|335|IV Neuroblastoma and other peripheral nervous cell tumors|15801419|2018
1-4|18.9|23.5|21.1|334|IV(a) Neuroblastoma and ganglioneuroblastoma|15801419|2018
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15801419|2018
1-4|9.1|12.4|10.6|168|IX Soft tissue and other extraosseous sarcomas|15801419|2018
1-4|5.8|8.5|7.1|112|IX(a) Rhabdomyosarcomas|15801419|2018
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15801419|2018
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15801419|2018
1-4|1.9|3.6|2.7|42|IX(d) Other specified soft tissue sarcomas|15801419|2018
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15801419|2018
1-4|3.7|5.9|4.7|75|Not classified by ICCC|15801419|2018
1-4|6.1|8.9|7.4|117|V Retinoblastoma|15801419|2018
1-4|16.1|20.3|18.1|286|VI Renal tumors|15801419|2018
1-4|15.8|20.1|17.8|282|VI(a) Nephroblastoma and other nonepithelial renal tumors|15801419|2018
1-4|~|~|~|~|VI(b) Renal carcinomas|15801419|2018
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15801419|2018
1-4|4.6|7.1|5.8|91|VII Hepatic tumors|15801419|2018
1-4|4.4|6.8|5.5|87|VII(a) Hepatoblastoma|15801419|2018
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15801419|2018
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15801419|2018
1-4|1.1|2.5|1.7|27|VIII Malignant bone tumors|15801419|2018
1-4|~|~|~|~|VIII(a) Osteosarcomas|15801419|2018
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15801419|2018
1-4|0.6|1.6|1.0|16|VIII(c) Ewing tumor and related sarcomas of bone|15801419|2018
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15801419|2018
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15801419|2018
1-4|2.4|4.2|3.2|51|X Germ cell, trophoblastic tumors & neoplasms of gonads|15801419|2018
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15801419|2018
1-4|0.9|2.1|1.4|22|X(b) Malignant extracranial & extragonadal germ cell tumors|15801419|2018
1-4|1.0|2.3|1.5|24|X(c) Malignant gonadal germ cell tumors|15801419|2018
1-4|~|~|~|~|X(d) Gonadal carcinomas|15801419|2018
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15801419|2018
1-4|1.4|2.9|2.0|32|XI Other malignant epithelial neoplasms and malignant melanomas|15801419|2018
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15801419|2018
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15801419|2018
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15801419|2018
1-4|0.7|1.8|1.1|18|XI(d) Malignant melanomas|15801419|2018
1-4|~|~|~|~|XI(e) Skin carcinomas|15801419|2018
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15801419|2018
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15801419|2018
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15801419|2018
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15801419|2018
10-14|154.7|165.6|160.1|3312|All ICCC Groups Combined|20690495|2018
10-14|31.6|36.7|34.1|705|I Leukemias, myeloproliferative & myelodysplastic diseases|20690495|2018
10-14|19.8|23.9|21.7|450|I(a) Lymphoid leukemias|20690495|2018
10-14|6.2|8.6|7.3|152|I(b) Acute myeloid leukemias|20690495|2018
10-14|1.8|3.2|2.4|50|I(c) Chronic myeloproliferative diseases|20690495|2018
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20690495|2018
10-14|1.5|2.7|2.0|42|I(e) Unspecified and other specified leukemias|20690495|2018
10-14|29.5|34.4|31.9|659|II Lymphomas and reticuloendothelial neoplasms|20690495|2018
10-14|11.2|14.3|12.7|263|II(a) Hodgkin lymphomas|20690495|2018
10-14|10.6|13.7|12.1|250|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20690495|2018
10-14|2.1|3.6|2.8|57|II(c) Burkitt lymphoma|20690495|2018
10-14|3.3|5.1|4.2|86|II(d) Miscellaneous lymphoreticular neoplasms|20690495|2018
10-14|~|~|~|~|II(e) Unspecified lymphomas|20690495|2018
10-14|24.3|28.7|26.4|547|III CNS and misc intracranial and intraspinal neoplasms|20690495|2018
10-14|1.3|2.5|1.8|38|III(a) Ependymomas and choroid plexus tumor|20690495|2018
10-14|12.6|15.9|14.2|294|III(b) Astrocytomas|20690495|2018
10-14|2.4|3.9|3.1|64|III(c) Intracranial and intraspinal embryonal tumors|20690495|2018
10-14|5.2|7.5|6.3|130|III(d) Other gliomas|20690495|2018
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20690495|2018
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20690495|2018
10-14|0.9|2.0|1.4|28|IV Neuroblastoma and other peripheral nervous cell tumors|20690495|2018
10-14|0.6|1.6|1.0|21|IV(a) Neuroblastoma and ganglioneuroblastoma|20690495|2018
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20690495|2018
10-14|11.2|14.3|12.7|262|IX Soft tissue and other extraosseous sarcomas|20690495|2018
10-14|3.1|4.8|3.9|80|IX(a) Rhabdomyosarcomas|20690495|2018
10-14|0.7|1.7|1.2|24|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20690495|2018
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20690495|2018
10-14|4.9|7.1|5.9|123|IX(d) Other specified soft tissue sarcomas|20690495|2018
10-14|1.1|2.2|1.6|33|IX(e) Unspecified soft tissue sarcomas|20690495|2018
10-14|1.8|3.2|2.4|50|Not classified by ICCC|20690495|2018
10-14|~|~|~|~|V Retinoblastoma|20690495|2018
10-14|1.6|3.0|2.2|46|VI Renal tumors|20690495|2018
10-14|0.8|1.8|1.2|25|VI(a) Nephroblastoma and other nonepithelial renal tumors|20690495|2018
10-14|0.6|1.5|1.0|20|VI(b) Renal carcinomas|20690495|2018
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20690495|2018
10-14|~|~|~|~|VII Hepatic tumors|20690495|2018
10-14|~|~|~|~|VII(a) Hepatoblastoma|20690495|2018
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20690495|2018
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20690495|2018
10-14|14.0|17.4|15.6|323|VIII Malignant bone tumors|20690495|2018
10-14|8.1|10.7|9.3|193|VIII(a) Osteosarcomas|20690495|2018
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20690495|2018
10-14|3.9|5.9|4.8|100|VIII(c) Ewing tumor and related sarcomas of bone|20690495|2018
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20690495|2018
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20690495|2018
10-14|7.4|10.0|8.7|179|X Germ cell, trophoblastic tumors & neoplasms of gonads|20690495|2018
10-14|1.8|3.2|2.4|50|X(a) Intracranial & intraspinal germ cell tumors|20690495|2018
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20690495|2018
10-14|4.0|6.0|4.9|102|X(c) Malignant gonadal germ cell tumors|20690495|2018
10-14|~|~|~|~|X(d) Gonadal carcinomas|20690495|2018
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20690495|2018
10-14|21.6|25.8|23.6|489|XI Other malignant epithelial neoplasms and malignant melanomas|20690495|2018
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20690495|2018
10-14|9.0|11.8|10.3|214|XI(b) Thyroid carcinomas|20690495|2018
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20690495|2018
10-14|2.1|3.6|2.8|58|XI(d) Malignant melanomas|20690495|2018
10-14|~|~|~|~|XI(e) Skin carcinomas|20690495|2018
10-14|8.5|11.2|9.8|202|XI(f) Other and unspecified carcinomas|20690495|2018
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20690495|2018
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20690495|2018
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20690495|2018
15-19|235.0|248.3|241.6|5048|All ICCC Groups Combined|20896062|2018
15-19|34.4|39.6|36.9|772|I Leukemias, myeloproliferative & myelodysplastic diseases|20896062|2018
15-19|18.6|22.6|20.5|429|I(a) Lymphoid leukemias|20896062|2018
15-19|7.3|9.8|8.5|177|I(b) Acute myeloid leukemias|20896062|2018
15-19|4.2|6.2|5.2|108|I(c) Chronic myeloproliferative diseases|20896062|2018
15-19|0.6|1.5|1.0|21|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20896062|2018
15-19|1.2|2.4|1.8|37|I(e) Unspecified and other specified leukemias|20896062|2018
15-19|47.7|53.8|50.7|1059|II Lymphomas and reticuloendothelial neoplasms|20896062|2018
15-19|29.1|34.0|31.5|658|II(a) Hodgkin lymphomas|20896062|2018
15-19|13.6|17.0|15.3|319|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20896062|2018
15-19|1.5|2.8|2.1|43|II(c) Burkitt lymphoma|20896062|2018
15-19|0.9|1.9|1.3|27|II(d) Miscellaneous lymphoreticular neoplasms|20896062|2018
15-19|~|~|~|~|II(e) Unspecified lymphomas|20896062|2018
15-19|19.2|23.2|21.2|442|III CNS and misc intracranial and intraspinal neoplasms|20896062|2018
15-19|0.8|1.8|1.2|26|III(a) Ependymomas and choroid plexus tumor|20896062|2018
15-19|12.0|15.2|13.5|282|III(b) Astrocytomas|20896062|2018
15-19|0.6|1.5|1.0|21|III(c) Intracranial and intraspinal embryonal tumors|20896062|2018
