AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
10-14|0.2|0.4|0.3|63|Incidence|20783456|Oral Cavity and Pharynx|2017
10-14|~|~|~|~|Mortality|10174304|Ovary|2017
10-14|0.7|1.1|0.9|87|Incidence|10174304|Ovary|2017
10-14|~|~|~|~|Mortality|20783456|Pancreas|2017
10-14|0.1|0.1|0.1|18|Incidence|20783456|Pancreas|2017
10-14|~|~|~|~|Mortality|10609152|Prostate|2017
10-14|~|~|~|~|Incidence|10609152|Prostate|2017
10-14|~|~|~|~|Mortality|20783456|Stomach|2017
10-14|~|~|~|~|Incidence|20783456|Stomach|2017
10-14|~|~|~|~|Mortality|10609152|Testis|2017
10-14|0.2|0.3|0.2|25|Incidence|10609152|Testis|2017
10-14|~|~|~|~|Mortality|20783456|Thyroid|2017
10-14|0.7|0.9|0.8|161|Incidence|20783456|Thyroid|2017
10-14|~|~|~|~|Mortality|20783456|Urinary Bladder|2017
10-14|~|~|~|~|Incidence|20783456|Urinary Bladder|2017
15-19|2.4|2.9|2.7|560|Mortality|21105586|All Cancer Sites Combined|2017
15-19|23.0|24.3|23.7|4998|Incidence|21105586|All Cancer Sites Combined|2017
15-19|0.4|0.6|0.5|97|Mortality|21105586|Brain and Other Nervous System|2017
15-19|2.3|2.7|2.5|524|Incidence|21105586|Brain and Other Nervous System|2017
15-19|~|~|~|~|Mortality|10322453|Cervix|2017
15-19|~|~|~|~|Incidence|10322453|Cervix|2017
15-19|~|~|~|~|Mortality|21105586|Colon and Rectum|2017
15-19|1.1|1.4|1.2|262|Incidence|21105586|Colon and Rectum|2017
15-19|~|~|~|~|Mortality|10322453|Corpus and Uterus, NOS|2017
15-19|~|~|~|~|Incidence|10322453|Corpus and Uterus, NOS|2017
15-19|~|~|~|~|Mortality|21105586|Esophagus|2017
15-19|~|~|~|~|Incidence|21105586|Esophagus|2017
15-19|~|~|~|~|Mortality|10322453|Female Breast|2017
15-19|0.1|0.3|0.2|21|Incidence|10322453|Female Breast|2017
15-19|~|~|~|~|Incidence|10322453|Female Breast, <i>in situ</i>|2017
15-19|~|~|~|~|Mortality|21105586|Hodgkin Lymphoma|2017
15-19|2.9|3.4|3.1|663|Incidence|21105586|Hodgkin Lymphoma|2017
15-19|.|.|.|.|Mortality|21105586|Kaposi Sarcoma|2017
15-19|~|~|~|~|Incidence|21105586|Kaposi Sarcoma|2017
15-19|~|~|~|~|Mortality|21105586|Kidney and Renal Pelvis|2017
15-19|0.1|0.3|0.2|43|Incidence|21105586|Kidney and Renal Pelvis|2017
15-19|~|~|~|~|Mortality|21105586|Larynx|2017
15-19|~|~|~|~|Incidence|21105586|Larynx|2017
15-19|0.6|0.8|0.7|145|Mortality|21105586|Leukemias|2017
15-19|2.8|3.2|3.0|633|Incidence|21105586|Leukemias|2017
15-19|~|~|~|~|Mortality|21105586|Liver and Intrahepatic Bile Duct|2017
15-19|0.1|0.2|0.2|32|Incidence|21105586|Liver and Intrahepatic Bile Duct|2017
15-19|~|~|~|~|Mortality|21105586|Lung and Bronchus|2017
15-19|0.1|0.2|0.1|22|Incidence|21105586|Lung and Bronchus|2017
15-19|~|~|~|~|Mortality|10322453|Male and Female Breast|2017
15-19|0.1|0.3|0.2|21|Incidence|10322453|Male and Female Breast|2017
15-19|~|~|~|~|Incidence|10322453|Male and Female Breast, <i>in situ</i>|2017
15-19|~|~|~|~|Mortality|21105586|Melanomas of the Skin|2017
15-19|0.6|0.9|0.7|158|Incidence|21105586|Melanomas of the Skin|2017
15-19|~|~|~|~|Mortality|21105586|Mesothelioma|2017
15-19|~|~|~|~|Incidence|21105586|Mesothelioma|2017
15-19|~|~|~|~|Mortality|21105586|Myeloma|2017
15-19|~|~|~|~|Incidence|21105586|Myeloma|2017
15-19|0.1|0.2|0.1|24|Mortality|21105586|Non-Hodgkin Lymphoma|2017
15-19|1.8|2.1|1.9|409|Incidence|21105586|Non-Hodgkin Lymphoma|2017
15-19|~|~|~|~|Mortality|21105586|Oral Cavity and Pharynx|2017
15-19|0.4|0.5|0.4|94|Incidence|21105586|Oral Cavity and Pharynx|2017
15-19|~|~|~|~|Mortality|10322453|Ovary|2017
15-19|1.0|1.4|1.2|123|Incidence|10322453|Ovary|2017
15-19|~|~|~|~|Mortality|21105586|Pancreas|2017
15-19|0.1|0.2|0.1|30|Incidence|21105586|Pancreas|2017
15-19|~|~|~|~|Mortality|10783133|Prostate|2017
15-19|~|~|~|~|Incidence|10783133|Prostate|2017
15-19|~|~|~|~|Mortality|21105586|Stomach|2017
15-19|0.0|0.1|0.1|17|Incidence|21105586|Stomach|2017
15-19|~|~|~|~|Mortality|10783133|Testis|2017
15-19|3.0|3.7|3.4|362|Incidence|10783133|Testis|2017
15-19|~|~|~|~|Mortality|21105586|Thyroid|2017
15-19|2.9|3.4|3.1|656|Incidence|21105586|Thyroid|2017
15-19|~|~|~|~|Mortality|21105586|Urinary Bladder|2017
15-19|0.1|0.1|0.1|20|Incidence|21105586|Urinary Bladder|2017
5-9|1.9|2.3|2.1|418|Mortality|20330306|All Cancer Sites Combined|2017
5-9|12.6|13.6|13.1|2665|Incidence|20330306|All Cancer Sites Combined|2017
5-9|0.8|1.1|1.0|199|Mortality|20330306|Brain and Other Nervous System|2017
5-9|3.5|4.0|3.8|767|Incidence|20330306|Brain and Other Nervous System|2017
5-9|~|~|~|~|Mortality|9948106|Cervix|2017
5-9|~|~|~|~|Incidence|9948106|Cervix|2017
5-9|~|~|~|~|Mortality|20330306|Colon and Rectum|2017
5-9|0.1|0.2|0.1|20|Incidence|20330306|Colon and Rectum|2017
5-9|~|~|~|~|Mortality|9948106|Corpus and Uterus, NOS|2017
5-9|~|~|~|~|Incidence|9948106|Corpus and Uterus, NOS|2017
5-9|~|~|~|~|Mortality|20330306|Esophagus|2017
5-9|~|~|~|~|Incidence|20330306|Esophagus|2017
5-9|~|~|~|~|Mortality|9948106|Female Breast|2017
5-9|~|~|~|~|Incidence|9948106|Female Breast|2017
5-9|~|~|~|~|Incidence|9948106|Female Breast, <i>in situ</i>|2017
5-9|~|~|~|~|Mortality|20330306|Hodgkin Lymphoma|2017
5-9|0.3|0.5|0.4|79|Incidence|20330306|Hodgkin Lymphoma|2017
5-9|.|.|.|.|Mortality|20330306|Kaposi Sarcoma|2017
5-9|~|~|~|~|Incidence|20330306|Kaposi Sarcoma|2017
5-9|~|~|~|~|Mortality|20330306|Kidney and Renal Pelvis|2017
5-9|0.5|0.8|0.6|131|Incidence|20330306|Kidney and Renal Pelvis|2017
5-9|~|~|~|~|Mortality|20330306|Larynx|2017
5-9|~|~|~|~|Incidence|20330306|Larynx|2017
5-9|0.3|0.5|0.4|77|Mortality|20330306|Leukemias|2017
5-9|3.6|4.1|3.9|785|Incidence|20330306|Leukemias|2017
5-9|~|~|~|~|Mortality|20330306|Liver and Intrahepatic Bile Duct|2017
5-9|0.1|0.2|0.1|26|Incidence|20330306|Liver and Intrahepatic Bile Duct|2017
5-9|~|~|~|~|Mortality|20330306|Lung and Bronchus|2017
5-9|~|~|~|~|Incidence|20330306|Lung and Bronchus|2017
5-9|~|~|~|~|Mortality|9948106|Male and Female Breast|2017
5-9|~|~|~|~|Incidence|9948106|Male and Female Breast|2017
5-9|~|~|~|~|Incidence|9948106|Male and Female Breast, <i>in situ</i>|2017
5-9|~|~|~|~|Mortality|20330306|Melanomas of the Skin|2017
5-9|0.1|0.2|0.1|22|Incidence|20330306|Melanomas of the Skin|2017
5-9|~|~|~|~|Mortality|20330306|Mesothelioma|2017
5-9|~|~|~|~|Incidence|20330306|Mesothelioma|2017
5-9|~|~|~|~|Mortality|20330306|Myeloma|2017
5-9|~|~|~|~|Incidence|20330306|Myeloma|2017
5-9|~|~|~|~|Mortality|20330306|Non-Hodgkin Lymphoma|2017
5-9|0.9|1.2|1.1|220|Incidence|20330306|Non-Hodgkin Lymphoma|2017
5-9|~|~|~|~|Mortality|20330306|Oral Cavity and Pharynx|2017
5-9|0.1|0.1|0.1|18|Incidence|20330306|Oral Cavity and Pharynx|2017
5-9|~|~|~|~|Mortality|9948106|Ovary|2017
5-9|0.2|0.4|0.3|25|Incidence|9948106|Ovary|2017
5-9|~|~|~|~|Mortality|20330306|Pancreas|2017
5-9|~|~|~|~|Incidence|20330306|Pancreas|2017
5-9|~|~|~|~|Mortality|10382200|Prostate|2017
5-9|~|~|~|~|Incidence|10382200|Prostate|2017
5-9|~|~|~|~|Mortality|20330306|Stomach|2017
5-9|~|~|~|~|Incidence|20330306|Stomach|2017
5-9|~|~|~|~|Mortality|10382200|Testis|2017
5-9|~|~|~|~|Incidence|10382200|Testis|2017
5-9|~|~|~|~|Mortality|20330306|Thyroid|2017
5-9|0.1|0.2|0.1|29|Incidence|20330306|Thyroid|2017
5-9|~|~|~|~|Mortality|20330306|Urinary Bladder|2017
5-9|~|~|~|~|Incidence|20330306|Urinary Bladder|2017
<1|1.1|1.9|1.5|57|Mortality|3882437|All Cancer Sites Combined|2017
<1|25.1|28.3|26.7|1035|Incidence|3882437|All Cancer Sites Combined|2017
<1|~|~|~|~|Mortality|3882437|Brain and Other Nervous System|2017
<1|3.2|4.4|3.8|146|Incidence|3882437|Brain and Other Nervous System|2017
<1|~|~|~|~|Mortality|1896804|Cervix|2017
<1|~|~|~|~|Incidence|1896804|Cervix|2017
<1|~|~|~|~|Mortality|3882437|Colon and Rectum|2017
<1|~|~|~|~|Incidence|3882437|Colon and Rectum|2017
<1|~|~|~|~|Mortality|1896804|Corpus and Uterus, NOS|2017
<1|~|~|~|~|Incidence|1896804|Corpus and Uterus, NOS|2017
<1|~|~|~|~|Mortality|3882437|Esophagus|2017
<1|~|~|~|~|Incidence|3882437|Esophagus|2017
<1|~|~|~|~|Mortality|1896804|Female Breast|2017
<1|~|~|~|~|Incidence|1896804|Female Breast|2017
<1|~|~|~|~|Incidence|1896804|Female Breast, <i>in situ</i>|2017
<1|~|~|~|~|Mortality|3882437|Hodgkin Lymphoma|2017
<1|~|~|~|~|Incidence|3882437|Hodgkin Lymphoma|2017
<1|.|.|.|.|Mortality|3882437|Kaposi Sarcoma|2017
<1|~|~|~|~|Incidence|3882437|Kaposi Sarcoma|2017
<1|~|~|~|~|Mortality|3882437|Kidney and Renal Pelvis|2017
<1|1.2|2.0|1.6|61|Incidence|3882437|Kidney and Renal Pelvis|2017
<1|~|~|~|~|Mortality|3882437|Larynx|2017
<1|~|~|~|~|Incidence|3882437|Larynx|2017
<1|0.3|0.8|0.5|19|Mortality|3882437|Leukemias|2017
<1|3.6|4.9|4.2|163|Incidence|3882437|Leukemias|2017
<1|~|~|~|~|Mortality|3882437|Liver and Intrahepatic Bile Duct|2017
<1|1.0|1.7|1.3|50|Incidence|3882437|Liver and Intrahepatic Bile Duct|2017
<1|~|~|~|~|Mortality|3882437|Lung and Bronchus|2017
<1|~|~|~|~|Incidence|3882437|Lung and Bronchus|2017
<1|~|~|~|~|Mortality|1896804|Male and Female Breast|2017
<1|~|~|~|~|Incidence|1896804|Male and Female Breast|2017
<1|~|~|~|~|Incidence|1896804|Male and Female Breast, <i>in situ</i>|2017
<1|~|~|~|~|Mortality|3882437|Melanomas of the Skin|2017
<1|~|~|~|~|Incidence|3882437|Melanomas of the Skin|2017
<1|~|~|~|~|Mortality|3882437|Mesothelioma|2017
<1|~|~|~|~|Incidence|3882437|Mesothelioma|2017
<1|~|~|~|~|Mortality|3882437|Myeloma|2017
<1|~|~|~|~|Incidence|3882437|Myeloma|2017
<1|~|~|~|~|Mortality|3882437|Non-Hodgkin Lymphoma|2017
<1|~|~|~|~|Incidence|3882437|Non-Hodgkin Lymphoma|2017
<1|~|~|~|~|Mortality|3882437|Oral Cavity and Pharynx|2017
<1|~|~|~|~|Incidence|3882437|Oral Cavity and Pharynx|2017
<1|~|~|~|~|Mortality|1896804|Ovary|2017
<1|~|~|~|~|Incidence|1896804|Ovary|2017
<1|~|~|~|~|Mortality|3882437|Pancreas|2017
<1|~|~|~|~|Incidence|3882437|Pancreas|2017
<1|~|~|~|~|Mortality|1985633|Prostate|2017
<1|~|~|~|~|Incidence|1985633|Prostate|2017
<1|~|~|~|~|Mortality|3882437|Stomach|2017
<1|~|~|~|~|Incidence|3882437|Stomach|2017
<1|~|~|~|~|Mortality|1985633|Testis|2017
<1|~|~|~|~|Incidence|1985633|Testis|2017
<1|~|~|~|~|Mortality|3882437|Thyroid|2017
<1|~|~|~|~|Incidence|3882437|Thyroid|2017
<1|~|~|~|~|Mortality|3882437|Urinary Bladder|2017
<1|~|~|~|~|Incidence|3882437|Urinary Bladder|2017
1-4|1.8|2.3|2.0|326|Mortality|15951619|All Cancer Sites Combined|2018
1-4|21.2|22.6|21.9|3461|Incidence|15801419|All Cancer Sites Combined|2018
1-4|0.3|0.5|0.4|69|Mortality|15951619|Brain and Other Nervous System|2018
1-4|3.9|4.5|4.2|660|Incidence|15801419|Brain and Other Nervous System|2018
1-4|~|~|~|~|Mortality|7794796|Cervix|2018
1-4|~|~|~|~|Incidence|7721408|Cervix|2018
1-4|~|~|~|~|Mortality|15951619|Colon and Rectum|2018
1-4|~|~|~|~|Incidence|15801419|Colon and Rectum|2018
1-4|~|~|~|~|Mortality|7794796|Corpus and Uterus, NOS|2018
1-4|~|~|~|~|Incidence|7721408|Corpus and Uterus, NOS|2018
1-4|~|~|~|~|Mortality|15951619|Esophagus|2018
1-4|~|~|~|~|Incidence|15801419|Esophagus|2018
1-4|~|~|~|~|Mortality|7794796|Female Breast|2018
1-4|~|~|~|~|Incidence|7721408|Female Breast|2018
1-4|~|~|~|~|Incidence|7721408|Female Breast, <i>in situ</i>|2018
1-4|~|~|~|~|Mortality|15951619|Hodgkin Lymphoma|2018
1-4|0.1|0.2|0.1|21|Incidence|15801419|Hodgkin Lymphoma|2018
1-4|.|.|.|.|Mortality|15951619|Kaposi Sarcoma|2018
1-4|~|~|~|~|Incidence|15801419|Kaposi Sarcoma|2018
1-4|~|~|~|~|Mortality|15951619|Kidney and Renal Pelvis|2018
1-4|1.6|2.0|1.8|287|Incidence|15801419|Kidney and Renal Pelvis|2018
1-4|~|~|~|~|Mortality|15951619|Larynx|2018
1-4|~|~|~|~|Incidence|15801419|Larynx|2018
1-4|0.5|0.8|0.7|106|Mortality|15951619|Leukemias|2018
1-4|8.6|9.6|9.1|1439|Incidence|15801419|Leukemias|2018
1-4|~|~|~|~|Mortality|15951619|Liver and Intrahepatic Bile Duct|2018
1-4|0.5|0.8|0.6|98|Incidence|15801419|Liver and Intrahepatic Bile Duct|2018
1-4|~|~|~|~|Mortality|15951619|Lung and Bronchus|2018
1-4|~|~|~|~|Incidence|15801419|Lung and Bronchus|2018
1-4|~|~|~|~|Mortality|7794796|Male and Female Breast|2018
1-4|~|~|~|~|Incidence|7721408|Male and Female Breast|2018
1-4|~|~|~|~|Incidence|7721408|Male and Female Breast, <i>in situ</i>|2018
1-4|~|~|~|~|Mortality|15951619|Melanomas of the Skin|2018
1-4|0.1|0.2|0.1|17|Incidence|15801419|Melanomas of the Skin|2018
1-4|~|~|~|~|Mortality|15951619|Mesothelioma|2018
1-4|~|~|~|~|Incidence|15801419|Mesothelioma|2018
1-4|~|~|~|~|Mortality|15951619|Myeloma|2018
1-4|~|~|~|~|Incidence|15801419|Myeloma|2018
1-4|~|~|~|~|Mortality|15951619|Non-Hodgkin Lymphoma|2018
1-4|0.5|0.7|0.6|96|Incidence|15801419|Non-Hodgkin Lymphoma|2018
1-4|~|~|~|~|Mortality|15951619|Oral Cavity and Pharynx|2018
1-4|~|~|~|~|Incidence|15801419|Oral Cavity and Pharynx|2018
1-4|~|~|~|~|Mortality|7794796|Ovary|2018
1-4|~|~|~|~|Incidence|7721408|Ovary|2018
1-4|~|~|~|~|Mortality|15951619|Pancreas|2018
1-4|~|~|~|~|Incidence|15801419|Pancreas|2018
1-4|~|~|~|~|Mortality|8156823|Prostate|2018
1-4|~|~|~|~|Incidence|8080011|Prostate|2018
1-4|~|~|~|~|Mortality|15951619|Stomach|2018
1-4|~|~|~|~|Incidence|15801419|Stomach|2018
1-4|~|~|~|~|Mortality|8156823|Testis|2018
1-4|0.1|0.4|0.2|19|Incidence|8080011|Testis|2018
1-4|~|~|~|~|Mortality|15951619|Thyroid|2018
1-4|~|~|~|~|Incidence|15801419|Thyroid|2018
1-4|~|~|~|~|Mortality|15951619|Urinary Bladder|2018
1-4|~|~|~|~|Incidence|15801419|Urinary Bladder|2018
10-14|2.0|2.4|2.2|450|Mortality|20887842|All Cancer Sites Combined|2018
10-14|15.5|16.6|16.0|3312|Incidence|20690495|All Cancer Sites Combined|2018
10-14|0.6|0.8|0.7|143|Mortality|20887842|Brain and Other Nervous System|2018
10-14|2.7|3.2|2.9|610|Incidence|20690495|Brain and Other Nervous System|2018
10-14|~|~|~|~|Mortality|10223894|Cervix|2018
10-14|~|~|~|~|Incidence|10127187|Cervix|2018
10-14|~|~|~|~|Mortality|20887842|Colon and Rectum|2018
10-14|0.6|0.8|0.7|139|Incidence|20690495|Colon and Rectum|2018
10-14|~|~|~|~|Mortality|10223894|Corpus and Uterus, NOS|2018
10-14|~|~|~|~|Incidence|10127187|Corpus and Uterus, NOS|2018
10-14|~|~|~|~|Mortality|20887842|Esophagus|2018
10-14|~|~|~|~|Incidence|20690495|Esophagus|2018
10-14|~|~|~|~|Mortality|10223894|Female Breast|2018
10-14|~|~|~|~|Incidence|10127187|Female Breast|2018
10-14|~|~|~|~|Incidence|10127187|Female Breast, <i>in situ</i>|2018
10-14|~|~|~|~|Mortality|20887842|Hodgkin Lymphoma|2018
10-14|1.1|1.4|1.3|263|Incidence|20690495|Hodgkin Lymphoma|2018
10-14|.|.|.|.|Mortality|20887842|Kaposi Sarcoma|2018
10-14|~|~|~|~|Incidence|20690495|Kaposi Sarcoma|2018
10-14|~|~|~|~|Mortality|20887842|Kidney and Renal Pelvis|2018
10-14|0.2|0.3|0.2|46|Incidence|20690495|Kidney and Renal Pelvis|2018
10-14|~|~|~|~|Mortality|20887842|Larynx|2018
10-14|~|~|~|~|Incidence|20690495|Larynx|2018
10-14|0.4|0.6|0.5|110|Mortality|20887842|Leukemias|2018
10-14|3.0|3.5|3.2|666|Incidence|20690495|Leukemias|2018
10-14|~|~|~|~|Mortality|20887842|Liver and Intrahepatic Bile Duct|2018
10-14|0.1|0.1|0.1|19|Incidence|20690495|Liver and Intrahepatic Bile Duct|2018
10-14|~|~|~|~|Mortality|20887842|Lung and Bronchus|2018
10-14|~|~|~|~|Incidence|20690495|Lung and Bronchus|2018
10-14|~|~|~|~|Mortality|10223894|Male and Female Breast|2018
10-14|~|~|~|~|Incidence|10127187|Male and Female Breast|2018
10-14|~|~|~|~|Incidence|10127187|Male and Female Breast, <i>in situ</i>|2018
10-14|~|~|~|~|Mortality|20887842|Melanomas of the Skin|2018
10-14|0.2|0.3|0.3|53|Incidence|20690495|Melanomas of the Skin|2018
10-14|~|~|~|~|Mortality|20887842|Mesothelioma|2018
10-14|~|~|~|~|Incidence|20690495|Mesothelioma|2018
10-14|~|~|~|~|Mortality|20887842|Myeloma|2018
10-14|~|~|~|~|Incidence|20690495|Myeloma|2018
10-14|~|~|~|~|Mortality|20887842|Non-Hodgkin Lymphoma|2018
10-14|1.3|1.7|1.5|308|Incidence|20690495|Non-Hodgkin Lymphoma|2018
10-14|~|~|~|~|Mortality|20887842|Oral Cavity and Pharynx|2018
10-14|0.2|0.3|0.2|46|Incidence|20690495|Oral Cavity and Pharynx|2018
10-14|~|~|~|~|Mortality|10223894|Ovary|2018
10-14|0.8|1.1|0.9|95|Incidence|10127187|Ovary|2018
10-14|~|~|~|~|Mortality|20887842|Pancreas|2018
10-14|~|~|~|~|Incidence|20690495|Pancreas|2018
10-14|~|~|~|~|Mortality|10663948|Prostate|2018
10-14|~|~|~|~|Incidence|10563308|Prostate|2018
10-14|~|~|~|~|Mortality|20887842|Stomach|2018
10-14|~|~|~|~|Incidence|20690495|Stomach|2018
10-14|~|~|~|~|Mortality|10663948|Testis|2018
10-14|0.2|0.4|0.3|30|Incidence|10563308|Testis|2018
10-14|~|~|~|~|Mortality|20887842|Thyroid|2018
10-14|0.9|1.2|1.0|215|Incidence|20690495|Thyroid|2018
10-14|~|~|~|~|Mortality|20887842|Urinary Bladder|2018
10-14|~|~|~|~|Incidence|20690495|Urinary Bladder|2018
15-19|2.7|3.2|2.9|621|Mortality|21077066|All Cancer Sites Combined|2018
15-19|23.5|24.8|24.2|5048|Incidence|20896062|All Cancer Sites Combined|2018
15-19|0.5|0.7|0.6|123|Mortality|21077066|Brain and Other Nervous System|2018
15-19|2.0|2.5|2.2|469|Incidence|20896062|Brain and Other Nervous System|2018
15-19|~|~|~|~|Mortality|10314076|Cervix|2018
15-19|~|~|~|~|Incidence|10226285|Cervix|2018
15-19|~|~|~|~|Mortality|21077066|Colon and Rectum|2018
15-19|1.2|1.6|1.4|292|Incidence|20896062|Colon and Rectum|2018
15-19|~|~|~|~|Mortality|10314076|Corpus and Uterus, NOS|2018
15-19|~|~|~|~|Incidence|10226285|Corpus and Uterus, NOS|2018
15-19|~|~|~|~|Mortality|21077066|Esophagus|2018
15-19|~|~|~|~|Incidence|20896062|Esophagus|2018
15-19|~|~|~|~|Mortality|10314076|Female Breast|2018
15-19|0.1|0.3|0.2|21|Incidence|10226285|Female Breast|2018
15-19|~|~|~|~|Incidence|10226285|Female Breast, <i>in situ</i>|2018
15-19|~|~|~|~|Mortality|21077066|Hodgkin Lymphoma|2018
15-19|2.9|3.4|3.1|658|Incidence|20896062|Hodgkin Lymphoma|2018
15-19|.|.|.|.|Mortality|21077066|Kaposi Sarcoma|2018
15-19|~|~|~|~|Incidence|20896062|Kaposi Sarcoma|2018
15-19|~|~|~|~|Mortality|21077066|Kidney and Renal Pelvis|2018
15-19|0.2|0.3|0.2|45|Incidence|20896062|Kidney and Renal Pelvis|2018
15-19|~|~|~|~|Mortality|21077066|Larynx|2018
15-19|~|~|~|~|Incidence|20896062|Larynx|2018
15-19|0.7|0.9|0.8|162|Mortality|21077066|Leukemias|2018
15-19|3.1|3.6|3.3|690|Incidence|20896062|Leukemias|2018
15-19|~|~|~|~|Mortality|21077066|Liver and Intrahepatic Bile Duct|2018
15-19|0.1|0.2|0.2|34|Incidence|20896062|Liver and Intrahepatic Bile Duct|2018
15-19|~|~|~|~|Mortality|21077066|Lung and Bronchus|2018
15-19|0.1|0.2|0.2|35|Incidence|20896062|Lung and Bronchus|2018
15-19|~|~|~|~|Mortality|10314076|Male and Female Breast|2018
15-19|0.1|0.3|0.2|21|Incidence|10226285|Male and Female Breast|2018
15-19|~|~|~|~|Incidence|10226285|Male and Female Breast, <i>in situ</i>|2018
15-19|~|~|~|~|Mortality|21077066|Melanomas of the Skin|2018
15-19|0.7|0.9|0.8|164|Incidence|20896062|Melanomas of the Skin|2018
15-19|~|~|~|~|Mortality|21077066|Mesothelioma|2018
15-19|~|~|~|~|Incidence|20896062|Mesothelioma|2018
15-19|~|~|~|~|Mortality|21077066|Myeloma|2018
15-19|~|~|~|~|Incidence|20896062|Myeloma|2018
15-19|0.1|0.2|0.1|26|Mortality|21077066|Non-Hodgkin Lymphoma|2018
15-19|1.6|2.0|1.8|370|Incidence|20896062|Non-Hodgkin Lymphoma|2018
15-19|~|~|~|~|Mortality|21077066|Oral Cavity and Pharynx|2018
15-19|0.4|0.5|0.4|91|Incidence|20896062|Oral Cavity and Pharynx|2018
15-19|~|~|~|~|Mortality|10314076|Ovary|2018
15-19|1.0|1.4|1.2|124|Incidence|10226285|Ovary|2018
15-19|~|~|~|~|Mortality|21077066|Pancreas|2018
15-19|0.2|0.3|0.2|47|Incidence|20896062|Pancreas|2018
15-19|~|~|~|~|Mortality|10762990|Prostate|2018
15-19|~|~|~|~|Incidence|10669777|Prostate|2018
15-19|~|~|~|~|Mortality|21077066|Stomach|2018
15-19|0.1|0.1|0.1|19|Incidence|20896062|Stomach|2018
15-19|~|~|~|~|Mortality|10762990|Testis|2018
15-19|2.8|3.4|3.1|330|Incidence|10669777|Testis|2018
15-19|~|~|~|~|Mortality|21077066|Thyroid|2018
15-19|3.4|3.9|3.7|769|Incidence|20896062|Thyroid|2018
15-19|~|~|~|~|Mortality|21077066|Urinary Bladder|2018
15-19|0.1|0.2|0.1|22|Incidence|20896062|Urinary Bladder|2018
5-9|1.8|2.1|1.9|393|Mortality|20212958|All Cancer Sites Combined|2018
5-9|12.6|13.6|13.1|2616|Incidence|20021178|All Cancer Sites Combined|2018
5-9|0.8|1.0|0.9|183|Mortality|20212958|Brain and Other Nervous System|2018
5-9|3.2|3.7|3.4|681|Incidence|20021178|Brain and Other Nervous System|2018
5-9|~|~|~|~|Mortality|9888217|Cervix|2018
5-9|~|~|~|~|Incidence|9794541|Cervix|2018
5-9|~|~|~|~|Mortality|20212958|Colon and Rectum|2018
5-9|0.1|0.2|0.1|24|Incidence|20021178|Colon and Rectum|2018
5-9|~|~|~|~|Mortality|9888217|Corpus and Uterus, NOS|2018
5-9|~|~|~|~|Incidence|9794541|Corpus and Uterus, NOS|2018
5-9|~|~|~|~|Mortality|20212958|Esophagus|2018
5-9|~|~|~|~|Incidence|20021178|Esophagus|2018
5-9|~|~|~|~|Mortality|9888217|Female Breast|2018
5-9|~|~|~|~|Incidence|9794541|Female Breast|2018
5-9|~|~|~|~|Incidence|9794541|Female Breast, <i>in situ</i>|2018
5-9|~|~|~|~|Mortality|20212958|Hodgkin Lymphoma|2018
5-9|0.3|0.5|0.4|80|Incidence|20021178|Hodgkin Lymphoma|2018
5-9|.|.|.|.|Mortality|20212958|Kaposi Sarcoma|2018
5-9|~|~|~|~|Incidence|20021178|Kaposi Sarcoma|2018
5-9|0.1|0.1|0.1|18|Mortality|20212958|Kidney and Renal Pelvis|2018
5-9|0.6|0.8|0.7|139|Incidence|20021178|Kidney and Renal Pelvis|2018
5-9|~|~|~|~|Mortality|20212958|Larynx|2018
5-9|~|~|~|~|Incidence|20021178|Larynx|2018
5-9|0.3|0.4|0.3|66|Mortality|20212958|Leukemias|2018
5-9|3.9|4.5|4.2|839|Incidence|20021178|Leukemias|2018
5-9|~|~|~|~|Mortality|20212958|Liver and Intrahepatic Bile Duct|2018
5-9|0.1|0.2|0.1|24|Incidence|20021178|Liver and Intrahepatic Bile Duct|2018
5-9|~|~|~|~|Mortality|20212958|Lung and Bronchus|2018
5-9|~|~|~|~|Incidence|20021178|Lung and Bronchus|2018
5-9|~|~|~|~|Mortality|9888217|Male and Female Breast|2018
5-9|~|~|~|~|Incidence|9794541|Male and Female Breast|2018
5-9|~|~|~|~|Incidence|9794541|Male and Female Breast, <i>in situ</i>|2018
5-9|~|~|~|~|Mortality|20212958|Melanomas of the Skin|2018
5-9|~|~|~|~|Incidence|20021178|Melanomas of the Skin|2018
5-9|~|~|~|~|Mortality|20212958|Mesothelioma|2018
5-9|~|~|~|~|Incidence|20021178|Mesothelioma|2018
5-9|~|~|~|~|Mortality|20212958|Myeloma|2018
5-9|~|~|~|~|Incidence|20021178|Myeloma|2018
5-9|~|~|~|~|Mortality|20212958|Non-Hodgkin Lymphoma|2018
5-9|0.9|1.2|1.1|214|Incidence|20021178|Non-Hodgkin Lymphoma|2018
5-9|~|~|~|~|Mortality|20212958|Oral Cavity and Pharynx|2018
5-9|0.1|0.1|0.1|18|Incidence|20021178|Oral Cavity and Pharynx|2018
5-9|~|~|~|~|Mortality|9888217|Ovary|2018
5-9|0.1|0.3|0.2|16|Incidence|9794541|Ovary|2018
5-9|~|~|~|~|Mortality|20212958|Pancreas|2018
5-9|~|~|~|~|Incidence|20021178|Pancreas|2018
